archdesc-dsc-c01-c02-c03-c04-c05-did-physdesc-title,7
archdesc-bioghist-p-persname,212
archdesc-did-abstract-emph,25
archdesc-dsc-c01-c02-c03-c04-scopecontent-p,24799
archdesc-dsc-c01-c02-acqinfo-p,3
archdesc-separatedmaterial-p-list-item-persname,46
archdesc-bioghist-bioghist-head,2
archdesc-dsc-c01-c02-c03-did-unittitle,332843
archdesc-controlaccess-persname,28335
archdesc-controlaccess-genreform,9412
archdesc-did-abstract-persname,447
archdesc-dsc-c01-c02-scopecontent-p-list-item-title,56
archdesc-scopecontent-list-item-persname,76
archdesc-controlaccess-geogname,4910
archdesc-dsc-c01-c02-c03-scopecontent-p-list-item-title,8
archdesc-controlaccess-title,2006
archdesc-acqinfo-p-no,3
archdesc-bioghist-bioghist-p,19
archdesc-separatedmaterial-list-item-list-item-note-p,2
archdesc-bioghist-list-item-title,7
archdesc-index-head,58
archdesc-dsc-c01-c02-scopecontent-p-list-item-corpname,2
archdesc-dsc-c01-bioghist-p-list-item,17
archdesc-dsc-c01-c02-c03-did-physdesc,67885
archdesc-dsc-c01-c02-c03-accessrestrict-p,959
archdesc-dsc-c01-c02-c03-scopecontent-list-item,117
archdesc-separatedmaterial-list-item-num,31
archdesc-arrangement-list-item-list-item-title,22
archdesc-arrangement-list-item-emph,1
archdesc-bibliography-bibref-emph,18
archdesc-separatedmaterial-note-p-title,2
archdesc-dsc-c01-c02-did-langmaterial,9
archdesc-dsc-c01-c02-c03-c04-dao,283
archdesc-separatedmaterial-list-item-note-p,1
archdesc-dsc-c01-c02-c03-c04-scopecontent-p-name,8
archdesc-dsc-c01-c02-c03-did-origination,2
archdesc-dsc-c01-c02-c03-custodhist-p,2497
archdesc-separatedmaterial-p-corpname,1
archdesc-dsc-c01-c02-c03-did-physloc,3369
archdesc-dsc-c01-c02-controlaccess-subject,1646
archdesc-acqinfo-p-date,56
archdesc-dsc-c01-c02-scopecontent-p-title-date,2
archdesc-dsc-c01-c02-did-physloc,1301
archdesc-dsc-c01-scopecontent-p-emph,470
archdesc-dsc-c01-c02-c03-c04-c05-c06-c07-c08-did-unitdate,224
eadheader-filedesc-titlestmt-titleproper-date,9024
archdesc-userestrict-p-emph,1
archdesc-did-abstract-corpname,10
archdesc-bioghist-chronlist-head,7
archdesc-dsc-c01-c02-c03-c04-c05-c06-did-unitid,32592
archdesc-dsc-c01-c02-c03-did-physdesc-extent,56051
archdesc-dsc-c01-c02-c03-c04-c05-did-origination-persname,42
archdesc-bioghist-chronlist-chronitem-date,789
archdesc-dsc-c01-c02-did-note-p-br,46
archdesc-dsc-c01-c02-c03-c04-c05-did-physloc,78
archdesc-relatedmaterial-list-item-archref,48
